Mary Poppins,I Love To Laugh,"I love to laugh
Loud and long and clear
I love to laugh
It's getting worse every year
The more I laugh
The more I fill with glee
The more the glee
The more I'm a merrier me
The more I'm a merrier me
Some people laugh through their noses
Sounding something like this:
Some people laugh through their teeth, goodness sakes
Hissing and fizzing like snakes
Some laugh too fast:
Some only blast
Others they twitter like birds
Then there's that kind what can't make up their mind:
When things strike me as funny
I can't hide it inside
And squeak: Hee!
As the squeakelers do
I've got to let go with a ho ho ho ho, ha ha ha ha
And a ha ha ha ha... too!
We love to laugh
Loud and long and clear
We love to laugh
So everybody can hear
The more you laugh
The more you fill with glee
And the more the glee
The more we're the merrier we!
"
Tangled,I See the Light,"(Rapunzel) 
All those days watching from the window
All those years outside looking in
All that time never even knowing just how blind I'd been
Now I'm here blinking in the starlight
Now I'm here suddenly I see
Standing here it's all so clear
I'm where I'm meant to be
And at last I see the light
And it's like the fog has lifted
And at last I see the light
And it's like the sky is new
And it's warm and real and bright
And the world has somehow shifted
All at once everything looks different
Now that I see you
(Flynn) 
All those days chasing down a day dream
All those years living in a blur
All that time never truly seeing
Things, the way they were
Now she's here shining in the starlight
Now she's here suddenly I know
If she's here it's crystal clear
I'm where I'm meant to be
(Rapunzel and Flynn) 
And at last I see the light
(Flynn) And it's like the fog has lifted
(Rapunzel and Flynn) 
And at last I see the light
(Rapunzel) And it's like the sky is new
(Rapunzel and Flynn) 
And it's warm and real and bright
And the world has some how shifted 
All at once everything looks different
Now that I see you
Now that I see you
"
Annie,I Think I'm Gonna Like It Here,"Cecile will pick out all your clothes
Blue is her best color no red I think.
Your bath is drawn by Mrs. Grear.
Soap no bubbles I think
Annette comes in to make your bed
Silk no satin sheets I think.
The swimming pool is to the down the stairs
Inside the house oh boy.
The tennis court is in the rear.
I never even picked up a racket.
Have an instructor here at noon.
I think I'm gonna like it here!
(small instrumental) 
When you wake,
ring for Drake.
Drake will bring your tray.
When you're through,
Mrs. Pew comes to take it away!
(instrumental) 
No need to pick up any toys.
That's ok I haven't got any anyway.
no finger will you lift my dear
We have but one request!
Please put us to the test
I know I'm gonna like it here!
(instrumental) 
Used to room in a tomb
Where I'd sit and freeze.
Get me now, Holy cow!
Could someone pinch me please!
(short instrumental) 
We never had a little girl
(We never had a little girl) 
I'm very,very,very glad to volunteer!
Were're glad she's glad to volunteer.
We hope you understand,
Your wish is our command!
I know I'm gonna like it here
(We know you're gonna like it here) 
"
Jungle Book ,I Wan'na Be Like You,"Now I'm the king of the swingers
Oh, the jungle VIP
I'd reached the top and I had to stop
And that's what's botherin' me
I wanna be a man, mancub
And stroll right into town
And be just like the other men
I'm tired of monkeyin' around!
Oh, oobee doo
(Oobee doo) 
I wanna be like you
(Shoobydoobydooby) 
I wanna walk like you
Talk like you, too
(Shoobydoobydooby) 
You'll see it's true
(Shoobydoobydooby) 
An ape like me
(Shoobydoobydooby) 
Can learn to be human too
Gee, cousin Louie
You're doin' real good
Now here's your part of the deal, cuz
Lay the secret on me of man's red fire
But I don't know how to make fire
Now don't try to kid me, mancub
I made a deal with you
What I desire is man's red fire
To make my dream come true
Give me the secret, mancub
Clue me what to do
Give me the power of man's red flower
So I can be like you
You!
I wanna be like you
I wanna talk like you
Walk like you, too
You'll see it's true
Someone like me
Can learn to be
Like someone like you
Can learn to be
Like someone like me!
Shoobydoobooboobedoobebabedababedababeda
yeeeaaah.
"
Jungle Book ,I wanna be like you,"Now I'm the king of the swingers
 Oh, the jungle VIP
 I've reached the top and had to stop
 And that's what botherin' me
 I wanna be a man, mancub
 And stroll right into town
 And be just like the other men
 I'm tired of monkeyin' around!
Oh, oobee doo
 I wanna be like you
 I wanna walk like you
 Talk like you, too
 You'll see it's true
 An ape like me
 Can learn to be human too
( Gee, cousin Louie
 You're doin' real good
Now here's your part of the deal, cuz
 Lay the secret on me of man's red fire
But I don't know how to make fire ) 
Llllaamama
Now don't try to kid me, mancub
 I made a deal with you
 What I desire is man's red fire
 To make my dream come true
 Give me the secret, mancub
 Clue me what to do
 Give me the power of man's red flower
 So I can be like you
You!
 I wanna be like you
 I wanna talk like you
 Walk like you, too
 You'll see it's true
Someone like me
 Can learn to be
 Like someone like me
 Can learn to be
 Like someone like you
 Can learn to be
 Like someone like me
"
James and the Giant Peach ,I Want A Mom,"Oh I want mom that will last forever
I want a mom to make it all better
I want a mom that will last forever
I want a mom who will love me whatever
I want a mom to take my hand
and make me feel like a holiday
A mom to tuck me in at night
and chase the monsters away
I want a mom to read me stories
And sing lullabies
and if I have a bad dream
to hold me when i cry!
Oh i want a mom that will last forever
I want a mom to make it all better
i want a mom that will last forever
I want a mom who will love me whatever (forever) 
And when she says to me
She will always be there
To watch and protect me
I don't have to be scared
Oh and when she says to me
I will always love you
I won't need to worry
Coz I'll know that it's true
I want a mom when I get lonely
Who will take the time to play
A man who can be a friend
And find a rainbow when it's grey
I want a mom to read me stories
And sing me a lullaby
And if I have a bad dream
To hold me when I cry
Oh I want mom that will last forever
I want a mom to make it all better
I want a mom that will last forever
I want a mom who will love me whatever (forever) 
I want mom that will last forever
I want a mom to make it all better
I want a mom that will last forever
I want a mom who will love me whatever (forever) 
I want a mom
I want a mom
I want a mom that last forever
I want a mom that last forever
I want a mom
I want a mom
I want a mom that last forever
I want a mom
I want a mom that last forever
I want a mom that last forever
I want a mom
"
,I Will Always Be With You,"I will always be with you
Makes no difference where your road takes you to
Even if we're apart
Now we're joined at the heart
Though our moments may be gone
You and I will still live on
I will always be with you
I'll be by your side whatever you do
All the memories may fade
But the ones that we made
Are eternal as a star
Now I'm part of who you are
And I'll be there with you in the sound of your laughter
I'll be in the tears you cry
'Cause the way you and I have touched one and other
Doesn't end with goodbye
I will always be with you
Like a guardian-angel constant and true
When you're lost in the night (Lost in the night) 
And you can't see the light
My love will see you through
I will always be there
You'll have me there
I will always be with you
I will always be with you
I will always be with you
Like a guardian-angel constant and true
When you're lost in the night (Lost in the night) 
And you can't see the light (Can't see the light) 
My love will see you through
I will always be there
You'll have me there
I will always be with you
"
Hercules Soundtrack,I won't say I'm in love,"If there's a prize for rotten judgement.
I guess I've already won that.
No man is worth the aggravation.
That's ancient history, been there done that.
(Muses) 
Who'd ya think you're kidding?
He's the earth and heaven to you.
Try to keep it hidden, honey we can see right through ya.
Girl you can't conceal it,
We know how you're feeling- who you're thinking of.
(Meg) 
Ooh. No chance, no way. I won't say it, no no!
(Muses) 
You swoon, you sigh, why deny it? Uh-oh.
(Meg) 
It's too cliche I won't say I'm in love.
(Muses) 
Shoo doop, shoo doop, ooo ooo ooo.
(Meg) 
I thought my heart had learned its lesson.
It feels so good when you start out.
My head is screaming get a grip girl.
Unless you're dying to cry your heart out.
Ohh...
(Muses) 
You keep on denying who you are and how your feeling.
Baby we're not buying, hon we saw ya hit the ceiling
Face it like a grown up, when you gonna own up?
That you got, got, got it bad?
(Meg) 
Ohh!
No chance, no way. I won't say it no no.
(Muses) 
Give up or give in. Check the grin you're in love.
(Meg) 
This scene won't play I won't say I'm in love.
(Muses) 
You're doing flips, read our lips you're in love.
(Meg) 
You're way off base I won't say it.
(Muses) 
She won't say ""in love""
(Meg) 
Get off my case, I won't say it.
(Muses) 
Girl don't be proud, it's okay you're in love.
(Meg) 
Ohhhh. At least out loud I won't say I'm in love.
(Muses) 
Sha la la la la la. Ahhhh.
"
Disney,I Won't Say I'm In Love,"(Meg) 
If there's a prize for rotten judgement
I guess I've already won that
no man is worth the aggravation
thats ancient history,
been there done that
(Muses) 
Who'd'ya think you're kiddin'
He's the Earth and heaven to you
Try to keep it hidden
Honey, we can see right through you
Girl, ya can't conceal it
We know how ya feel and
Who you're thinking of
(Meg) 
No chance, no way
I won't say it, no, no
(Muses) 
You swoon, you sigh
why deny it, uh-oh
(Meg) 
It's too cliche
I won't say I'm in love
I thought my heart had learned its lesson
It feels so good when you start out
My head is screaming get a grip, girl
Unless you're dying to cry your heart out
Oh
(Muses) 
You keep on denying
Who you are and how you're feeling
Baby, we're not buying
Hon, we saw ya hit the ceiling
Face it like a grown-up
When ya gonna own up
That ya got, got, got it bad
(Meg) 
No chance, no way
I won't say it, no, no
(Muses) 
Give up, give in
Check the grin you're in love
(Meg) 
This scene won't play,
I won't say I'm in love
(Muses) 
You're doin flips read our lips
You're in love
(Meg) 
You're way off base
I won't say it
Get off my case
I won't say it
(Muses) 
Girl, don't be proud
It's O.K. you're in love
(Meg) 
Oh
At least out loud,
I won't say I'm in love
"
Sleeping Beauty soundtrack,I Wonder,"I wonder
I wonder
I wonder why each little bird has a someone
to sing to sweet things to
a gay little love melody
I wonder
I wonder
if my heart keeps singing
will my song go ringing
to someone who will find me
and bring back a love song to me
"
Tinkerbell,I'll Try,"I am not a child now
I can take care of myself
I mustn't let them down now
Mustn't let them see me cry
I'm fine, I'm fine
I'm too tired to listen
I'm too old to believe
All these childish stories
There is no such thing as faith
And trust and pixie dust
I'lltry
But it's so hard to believe
I'll try
But I can't see what you see
I'll try, I'll try, I'll try...
My whole world is changing
I don't know where to turn
I can't leave you waiting
But I can't stay and watch this city burn
Watch it burn
'Cause I'll try
But it's so hard to believe
I'll try
But I can't see what you see
I'll try, I'll try
I try and try to understand
The distance in between
The love I feel and the things I fear
And every single dream
I can finally see it
Now I have to believe
All those precious stories
All the world is made of...
Faith, and trust... and pixie dust
So, I'll try
Because I finally believe
I'll try, cuz I can see what you see
I'll try, I'll try,
I'll try...
To fly
"
Disney ,I'm Ready,"Things are crazy these days
Time's slippin? away
I've got the world ahead of me
I don't wanna miss a thing
?Cuz there's so much to do
And I'm gonna get through
Now I'm ready, yeah I'm ready
Ready to take it on
I'm ready for you
Are you ready for me
I'm invincible, and I can do anything
I'm ready to go
Are you ready to see
Don't you know that
It's impossible to stop me
I hope you agree, life impossibly
Sometimes you gotta do
What you gotta do
Anytime that you fall
Just give me a call
And I'll be ready, yeah I'm ready
Ready to take it on
I'll be there whenever you need me
I'm ready for you
Are you ready for me
I'm invincible, and I can do anything
I'm ready to go
Are you ready to see
Don't you know that
It's impossible to stop me
I'll never let you down
I'm always ready
I can, I am, everything that
I need to be
I am, I can, nothing gonna stop me
I can, I am, everything that
I need to be
I am, I can, nothing's gonna
Nothing's gonna stop me
I'm ready for you
Are you ready for me
I'm invincible, and I can do anything
I'm ready to go
Are you ready to see
Don't you know that
It's impossible to stop me
I'm ready for you
Are you ready for me
I'm invincible, and I can do anything
I'm ready to go
Are you ready to see
Don't you know that
It's impossible to stop me
I am, I can, I'm ready for you
I can, I am, are you ready for me
I am, I can, I'm ready for you
I'm invincible and I'm ready
"
Treasure Planet Soundtrack,I'm Still Here (Jim's Theme),"I am a question to the world,
Not an answer to be heard
Or a moment that's held in your arms.
And what do you think you'd ever say?
I won't listen anyway…
You don't know me,
And I’ll never be what you want me to be.
And what do you think you'd understand?
I'm a boy, no, I'm a man..
You can't take me and throw me away.
And how can you learn what's never shown?
Yeah, you stand here on your own.
They don't know me 'cause I'm not here.
And I want a moment to be real,
Wanna touch things I don't feel,
Wanna hold on and feel I belong.
And how can the world want me to change?
They’re the ones that stay the same.
They don’t know me,
'Cause I’m not here.
And you see the things they never see
All you wanted, I could be
Now you know me, and I'm not afraid
And I wanna tell you who I am
Can you help me be a man?
They can't break me
As long as I know who I am
And I want a moment to be real,
Wanna touch things I don't feel,
Wanna hold on and feel I belong.
And how can the world want me to change?
They’re the ones that stay the same.
They can’t see me,
But I’m still here.
They can’t tell me who to be,
‘Cause I’m not what they see.
Yeah, the world is still sleepin’,
While I keep on dreamin’ for me.
And their words are just whispers
And lies that I’ll never believe.
And I want a moment to be real,
Wanna touch things I don't feel,
Wanna hold on and feel I belong.
And how can they say I never change?
They’re the ones that stay the same.
I’m the one now,
‘Cause I’m still here.
I’m the one,
‘Cause I’m still here.
I’m still here.
I’m still here.
I’m still here.
"
sing,I'm still standing,"You could never know what it's like
Your blood like winter freezes just like ice
And there's a cold lonely light that shines from you
You'll wind up like the wreck you hide behind that mask you use
And did you think this fool could never win?
Well look at me, I'm coming back again
I got a taste of love in a simple way
And if you need to know while I'm still standing you just fade away
Don't you know I'm still standing better than I ever did
Looking like a true survivor, feeling like a little kid
I'm still standing after all this time
Picking up the pieces of my life without you on my mind
I'm still standing, yeah, yeah, yeah
I'm still standing, yeah, yeah, yeah
Once I never could hope to win
You starting down the road leaving me again
The threats you made were meant to cut me down
And if our love was just a circus you'd be a clown by now
Don't you know I'm still standing better than I ever did
Looking like a true survivor, feeling like a little kid
I'm still standing after all this time
Picking up the pieces of my life without you on my mind
I'm still standing, yeah, yeah, yeah
I'm still standing, yeah, yeah, yeah
Don't you know I'm still standing better than I ever did
Looking like a true survivor, feeling like a little kid
I'm still standing after all this time
Picking up the pieces of my life without you on my mind
I'm still standing, yeah, yeah, yeah
I'm still standing, yeah, yeah, yeah
I'm still standing, yeah, yeah, yeah
I'm still standing, yeah, yeah, yeah
"
Snow White,I'm Wishing,"I'm wishing
(echo) 
For the one I love
To find me
(echo) 
Today
(echo) 
I'm hoping
(echo) 
And I'm dreaming of
The nice thing
(echo) 
He'll say
(echo) 
La hahaha
(echo) 
La hahaha
(echo) 
La hahaha
I'm wishing
(echo) 
for the one I love
To find me
(echo) 
Today
Prince: TODAY!
"
Disney Channel,I'se The B'y,"Ise the by that builds the boat
And ise the by that sails her
Ise the by that catches the fish
And takes 'em home to Lizer
Hip your partner Sally Tibo
Hip your partner Sally Brown
Fo go twillin gate morton's harbor all around the circle
Sods to cover your flake
And tea 4 supper
Cod fish spring o the year
Magetty butter
Hip your partner Sally Tibo
Hip your partner Sally Brown
Fo go twillin gat morton's harbor all around the circle
I don't want your fish
That's no good for winter
I buy good as that
Down in Bona Vister
Hip ip ip ip SALLY
Hip ip ip ip Brown
Fo go twillin gate morton's harbor all around the circle
{smoothly}
I took Lizer to a dance
And faith but she could travel
Ev'ry step that she did take
was up to her knees in gravel
Hip your your partner Sally Tibo
O! ohhhohhh
Hip your partner Sally Brown
Ow! owaown
Morton's harbor all around the circle
Suzan White she's out of sight
She's out of sight
Her petty coat wants
It wants a border wants a border
Old Sam Oliver
Oliver! Oliver!
In the dark! the dark! the dark! the dark!
He kisses her in the
[kissing sound]
corner
Hip your partner Sally Tibo
Sally Tibo
Hip your partner Sally Bro-own
Fo go twillin gate twillin gate
Morton's morton's harbor morton's harbor
Fo go twillin gate morton's harbor
~3 second pause~
Ise the by that builds the boat
That catches the fish
That takes 'em home
All around the cirlce
All around around around
THE CIRCLE!"
Tangled,I've Got a Dream,"Hook Hand Thug:
I'm malicious, mean and scary!
My sneer could curdle dairy
And violence-wise, my hands are not the cleanest...
But despite my evil look
And my temper
And my hook!
I've always yearned to be a concert pianist.
Can you see me on the stage performing Mozart?
Tickling the ivories 'till they gleam
Yes, I'd rather be called deadly
For my killer show-tune medley!
'Cause way down deep inside, I've got a dream!
Thugs:
He's got a dream!
He's got a dream!
Hook Hand Thug:
See, I ain't as cruel an vicious as I seem!
Though, I do like breaking femurs
You can count me with the dreamers
Like 'vrybody else, I've got a dream!
Big Nose Thug:
I've got scars and lumps and bruises
And something here that oozes?
And let's not even mention my complexion!
But despite my extra toes
And my goiter
And my nose
I really want to make a love connection
Can you see me with a special little lady?
Rowing in a rowboat down a stream
Though, I'm one disgusting blighter
I'm a lover! Not a fighter
'Cause way down deep inside, I've got a dream
I've got a dream
Thugs:
He's got a dream
Big Nose Thug:
I've got a dream!
Thugs:
He's got a dream!
Big Nose Thug:
And I know one day romance with reign supreme!
Though my face leaves people screaming
There's a child behind it, dreaming
Like everybody else, I've got a dream
Thugs:
Toil would like to quit and be a florist
Gunter does interior design
Urf is into mime
Attila's cupcakes are sublime!
Bruiser knits
Killer sews
Ven does little puppet shows
And Vladimir collects ceramic unicorns!
Hook Hand Thug:
And what about you?
Flynn:
I'm sorry - me?
Big Nose Thug:
What's your dream?
Flynn:
Oh, no, no, sorry boys. I don't sing.
I've got dreams like you
No, really!
Just much less touchy-feely
They mainly happen somewhere warm and sunny
On an island that I own
Tan and rested and alone!
Surrounded by enormous piles of money!
Rapunzel:
I've got a dream!
Thugs:
She's got a dream!
Rapunzel:
I've got a dream!
Thugs:
She's got a dream!
Rapunzel:
I just want to see the floating lanterns gleam!
And with every passing hour
I'm so glad I left my tower!
Like all you lovely folks, I've got a dream
Thugs:
She's got a dream
She's got a dream
They got a dream
We've got a dream
So, our differences ain't really that extreme
We're one big team!
Call us brutal
Sick, sadistic
And grotesquely optimistic!I've got a dream
I've got a dream
I've got a dream!
I've got a dream
I've got a dream!
I've got a dream
Yes, way down deep inside, I've got a dream!
Yeah!
"
Lion King ,I've Got A Lovely Bunch Of Coconuts,"Down at the English fair
One evening I was there
when i heard a showman shouting underneath the flair
*chorus*
i've got an lovely bunch of coconuts
there they are standing in a row
big ones small ones some as big as your head
give 'em a twist
a flick of the wrist
that's what the show man said
now that i've got a lovely bunch of coconuts
everybody knows they'll make me rich
there stands me wife
the idle of me life
singing a rolly polly paul a penny a pitch
singing a rolly polly paul a penny a pitch
rolly polly paul
a rolly polly paul
singing rolly polly paul a penny a pinch
i've got a lovely bunch of coconuts
*how lovely*
there they are standing in a row
*1-2-3-4*
big ones small ones some as big as your head
*and bigger*
give 'em a twist
a flick of the wrist
that's what the show man said
now that i've got a lovely bunch of coconuts
everybody knows they'll make me rich
there stands me wife
the idle of me life
singing a rolly polly paul a penny a pitch
singing a rolly polly paul a penny a pitch
rolly polly paul
a rolly polly paul
singing rolly polly paul a penny a pinch"
Pinnochio,I've Got No Strings,"I've got no strings
To hold me down
To make me fret
Or make me frown
I had strings
But now I'm free
There are no strings on me
Hi o the merio, that's
the only way to be!
I want the world to know
nothin' ever worries me
I've got no strings so I have fun
I'm not tied up to anyone
They've got strings but
you can see there are no strings
on me!
You have no strings your
arms are free
To love me by the
Zuider Zee
Ya,ya,ya if you
would woo
I'd burst my strings
for you
You've go no strings
comme ci comme ca
Your savoir faire is ooh
la la
I've got strings,but
entre nous
I'd cut my strings for you
Down where
de Volga flows
Dere's a Russian
rendezvous
Where me and Ivan goes
But I'd rather go with
you,Hey!
There are no strings on me
"
"Monsters, Inc. ",If I Didn't Have You,"(Sulley) If I were a rich man
With a million or two
(Mike) I'd live in a penthouse
In a room, with a view
(Sulley) And if I were handsome (No way) 
It could happen
Those dreams do come true
I wouldn't have nothin if I didn't have you
Wouldn't have nothin if I didn't have
Wouldn't have nothin if I didn't have
Wouldn't have nothin
(Mike) Can I tell you something?
For years I have envied (You green with it) 
Your grace and your charm
Everyone loves you, you know? (Yes I know I know I know) 
I must admit it
Big guy you always come through
I wouldn't have nothin if I didn't have you
(Both) You and me together
That's how it always should be
One without the other
Don't mean nothing to me, nothing to me.
(Mike) Ya I wouldn't be nothin, (Aw now) 
If I didn't have you to serve
I'm just a punky little eyeball
And a funky optic nerve
Hey I never told you this
Sometimes I get a little blue (Looks good on you) 
But I wouldn't have nothin if I didn't have you,
(Sulley) Let's dance (haha) 
(Mike) Look Ma! I'm dancin!
Would you let me lead?
Look at that its two big guys who're light on their feet
Don't you dare dip me don't you dare dip me don't you dare dip me
Ow I should have stretched
(Sulley) Yes I wouldn't be nothin
If I didn't have you (I know what you mean Sulley because) 
I wouldn't know where to go (me too because I) 
Or know, what to do (why do you keep singin my part) 
(Both) I Don't have to say it (Aw say it anyway) 
Cause we both know it's true
I wouldn't have nothin if I didn't have
I wouldn't have nothin if I didn't have
I wouldn't have nothin if I didn't have
Wouldn't have nothin if I didn't have
Youuuuu
(Mike) One more time! It worked!
(Sulley) Don't have to say it
(Mike) Where'd everybody come from?
(Sulley) Oh we both know its true
(Mike) Let's take it home big guy
(Both) I wouldn't have nothin if I didn't have
I wouldn't have nothin if I didn't have
I wouldn't have nothin if I didn't have
You, you, you!
A-E-I-O that means you
Ya!
"
